accession_id,phenotype_value
5748,36.5
9102,72.25
9777,39.25
9404,73.75
9615,79.5
6192,55.66666667
6090,100.0
9748,79.25
9901,92.75
9825,54.5
9941,36.25
9388,128.0
1853,62.33333333
6109,95.33333333
630,52.75
9529,58.75
6074,89.33333333
1317,92.33333333
9453,123.5
9952,102.25
6974,115.75
9134,57.66666667
9921,42.25
2016,64.0
5757,58.33333333
9695,79.25
9298,41.75
9956,55.25
9524,91.33333333
7268,39.5
9660,35.75
6088,116.0
8351,96.5
10009,71.5
9871,110.75
8424,74.75
9550,116.5
6220,112.3333333
7298,48.5
7320,69.0
9588,72.66666667
10015,46.0
9115,76.75
9926,46.5
9837,56.5
9593,92.0
7373,46.75
9099,108.0
9323,77.5
9607,104.3333333
6149,97.25
9659,59.66666667
5800,34.66666667
9437,83.5
9128,57.0
9639,68.5
9792,38.0
9810,34.25
9312,51.0
424,62.75
8354,53.75
7107,45.75
9710,81.0
9658,60.75
6201,99.25
7280,41.5
9838,58.66666667
6073,87.75
9383,97.66666667
9637,71.75
9601,83.75
6107,102.0
9801,32.0
6099,109.0
9811,39.5
9638,75.0
9809,47.25
9951,100.0
6217,117.0
9684,81.5
9591,39.25
9757,94.5
9943,56.5
9802,38.0
1063,55.75
7322,47.25
6085,127.0
7072,57.0
9897,74.25
9664,103.0
9106,81.0
9641,81.0
8387,44.66666667
7013,35.5
9783,59.66666667
9534,54.33333333
9915,69.75
9772,36.5
10002,36.5
9775,41.25
9057,61.25
9725,49.5
9963,63.66666667
9336,63.75
7163,38.0
9768,44.33333333
9937,41.5
9666,107.0
9552,137.0
6142,98.25
9904,108.0
7202,35.0
8312,48.0
9537,44.25
5950,58.0
8426,35.75
7003,45.0
9104,51.0
9536,95.0
7064,59.33333333
7025,50.75
7133,39.0
1954,89.25
9797,41.5
7248,57.66666667
9421,94.25
9369,61.25
7160,59.75
9399,88.25
7058,58.25
7164,56.5
410,59.25
9911,40.75
9630,72.0
6036,80.25
9969,64.0
9526,49.5
9859,75.0
7067,37.25
7396,45.25
7347,43.25
9565,66.75
9657,42.5
7008,75.25
9371,140.0
9739,64.25
7209,41.5
5104,38.5
9718,68.33333333
6424,46.25
9705,61.5
5772,43.25
10005,62.25
9606,35.0
9798,38.33333333
1829,102.6666667
9656,80.66666667
9723,60.66666667
9826,67.5
9503,49.25
5720,56.33333333
9687,79.25
9592,104.0
9898,88.0
8247,80.75
9888,82.0
9532,102.6666667
10011,59.25
9590,30.0
991,91.25
10013,95.0
9803,37.0
9612,64.75
6105,83.66666667
5822,107.0
8307,52.5
8386,44.5
9539,80.75
9528,74.5
9587,93.66666667
9821,67.5
765,36.33333333
7203,39.25
9557,104.0
9648,55.5
9991,82.0
7353,68.75
9807,39.0
6098,102.75
9661,35.66666667
9814,41.66666667
9819,74.75
5893,59.75
7177,40.25
9084,108.75
9745,70.75
9698,68.25
7130,69.5
7717,71.0
9899,52.5
9571,30.75
9576,108.0
6038,68.0
6900,119.0
9804,39.25
9795,34.5
9609,45.25
6252,137.0
6909,34.5
6413,78.75
6172,107.0
9799,45.0
6140,95.5
9452,95.5
9949,55.5
9594,103.6666667
9635,81.33333333
9909,46.75
9835,66.75
9858,115.0
6188,46.5
763,34.0
9617,57.5
9812,40.75
5210,73.0
5165,77.25
9413,68.66666667
7147,45.33333333
9412,57.66666667
6268,97.66666667
9980,55.5
6198,86.0
7186,42.0
9647,50.5
9920,40.66666667
9719,52.25
6019,102.3333333
7181,70.0
9121,94.0
6108,48.25
6138,82.0
9970,76.25
9597,55.0
8238,48.0
9738,68.5
9450,75.5
9862,46.25
772,38.5
350,45.5
9744,56.0
8236,58.33333333
9769,39.25
10004,72.0
9696,72.5
9613,67.66666667
7350,44.66666667
7192,35.25
9770,39.25
9525,71.75
9392,51.75
9831,82.75
430,50.0
7917,62.0
1254,98.0
9530,105.5
7349,47.0
9947,112.0
9130,54.75
9905,80.33333333
9828,74.25
9507,41.0
9670,105.75
7332,39.5
9824,137.0
7296,55.5
6017,101.0
9691,65.75
7413,42.25
6184,101.5
6153,127.0
9743,70.0
9878,112.0
8230,113.0
8366,39.25
7208,40.75
6177,86.5
9676,84.33333333
9983,52.75
7102,61.0
6039,50.0
9697,55.66666667
1257,86.25
9861,114.25
8335,85.0
5921,50.0
9693,70.0
9887,85.0
7218,42.75
8306,88.0
9732,83.0
9470,76.75
7411,46.0
9758,66.0
6122,85.0
9079,99.0
6970,44.5
6989,54.75
6242,80.75
8422,101.0
7415,40.75
88,48.0
9955,69.25
9788,34.33333333
9402,74.75
9776,36.5
9616,102.25
9998,39.5
6990,54.75
8337,66.75
6097,89.25
6967,36.0
9730,89.0
7377,53.0
9634,89.5
1158,76.25
5779,59.25
9959,70.75
9578,54.0
9558,110.75
8285,46.66666667
5276,47.25
9521,62.5
7258,39.0
10017,71.5
7384,62.25
2317,47.0
8246,70.0
9689,74.33333333
9960,61.33333333
9113,69.25
9508,53.5
9851,120.5
7077,37.66666667
6987,40.25
9671,86.0
5644,40.5
9527,72.5
9996,34.0
7062,33.25
9727,37.5
9621,76.75
9883,38.25
9382,109.0
992,91.75
6210,117.5
6241,116.6666667
6203,111.5
9636,112.3333333
9813,39.5
9875,38.0
4900,46.5
7169,72.75
7471,29.75
9886,51.25
9950,72.75
9841,61.0
9103,78.25
7106,40.25
8419,49.0
9845,58.0
915,37.75
6992,48.0
9386,101.25
8235,62.0
9933,41.66666667
9847,39.25
7231,39.33333333
6963,57.75
9866,106.5
7199,33.5
9105,67.25
6035,66.25
9891,83.5
265,39.0
9971,55.75
9939,54.75
9793,36.33333333
9906,73.33333333
5253,33.75
9569,92.25
7117,31.25
6009,112.0
7162,36.5
801,77.5
9787,44.33333333
5353,59.0
9868,58.33333333
8237,79.25
9791,35.0
9972,54.25
9741,67.25
8365,35.25
10018,78.33333333
7356,57.33333333
1890,69.0
8240,73.66666667
9682,69.25
9722,90.66666667
9548,132.0
7378,46.5
4884,44.25
9848,81.66666667
9573,55.0
9726,52.25
9852,55.5
9081,95.66666667
9352,122.6666667
7250,33.75
9089,117.0
9353,112.0
9779,39.0
9860,58.0
6979,29.5
9881,74.5
9853,29.0
7127,41.75
9995,38.5
7096,36.0
9966,75.5
9990,71.0
9755,74.5
6680,86.0
7372,49.25
5577,46.75
6244,104.5
9655,64.33333333
9651,43.66666667
9895,63.0
6975,41.75
5741,85.25
7094,37.5
9628,60.0
9703,59.75
7307,66.0
8256,40.5
6064,130.0
428,53.33333333
6221,126.5
4826,46.66666667
9699,58.0
8222,88.25
9111,82.0
6046,121.3333333
9864,46.25
9953,85.25
10006,123.0
10020,42.0
8244,52.5
9932,74.5
9078,101.25
9645,62.75
7092,51.5
6132,90.5
9976,66.33333333
9520,114.75
9832,82.66666667
6136,79.25
9759,52.5
7071,40.75
7068,51.5
10022,39.25
9633,69.0
5768,81.0
10008,65.33333333
9519,61.0
9716,116.0
9394,104.25
7213,38.75
6986,40.0
9510,48.75
9929,75.25
7063,43.66666667
9820,53.25
7273,37.0
9930,61.0
8343,55.0
9058,129.3333333
9622,74.66666667
6984,42.25
7207,45.5
7288,62.0
9683,68.5
7477,43.75
9646,46.25
6102,104.3333333
9513,60.0
7000,46.25
9973,104.0
9625,95.0
8264,56.0
6092,88.0
9579,72.0
7346,52.0
9978,90.5
9584,81.0
6020,84.0
9589,72.0
9958,73.5
8231,102.3333333
6041,46.0
9600,59.0
9869,65.5
9785,39.75
8284,64.75
6255,143.0
9686,78.5
9771,38.75
6744,40.75
6012,120.5
7387,36.75
9390,49.75
9927,68.0
139,49.75
9567,95.0
9903,101.25
9749,58.25
7394,37.75
6126,82.33333333
1062,61.5
9339,105.5
9988,107.75
9640,75.0
9544,48.5
6071,131.0
9535,82.5
8239,37.5
9962,66.5
9968,49.25
8357,49.0
9581,112.0
9598,84.33333333
7354,100.0
9733,76.0
6237,101.0
9729,95.0
9518,78.5
9781,38.33333333
9975,78.0
9946,47.0
9627,80.5
9554,92.75
9945,99.5
9091,90.25
9985,58.0
8369,77.5
9840,110.0
9817,57.5
9876,63.5
6111,85.0
7424,31.0
6023,78.0
7120,37.0
9800,39.75
4807,81.75
9816,36.0
7161,35.33333333
10001,45.25
9522,55.66666667
9100,65.75
8376,95.5
9692,65.5
6134,94.33333333
6189,52.33333333
9854,36.66666667
7418,40.25
6169,110.0
9870,103.3333333
6011,106.5
9711,75.75
9836,123.5
9427,114.0
7306,43.5
9611,67.5
9619,77.0
6901,112.3333333
9069,83.0
7343,43.0
351,59.0
6968,87.0
9979,62.0
9541,57.0
9935,65.5
6148,98.0
9827,56.0
6118,94.25
5151,67.5
6193,48.75
6125,99.0
9867,96.25
9632,83.33333333
9778,45.5
5349,85.33333333
2276,79.5
8234,90.25
7282,34.0
7014,74.0
1925,82.5
9451,110.75
7382,34.25
9761,54.75
7255,44.66666667
9585,26.5
8420,40.75
9649,62.0
932,64.0
9610,62.0
9902,107.0
9774,37.0
7031,40.75
5831,91.0
9728,71.75
9987,67.25
6997,48.5
9880,79.0
9796,43.5
5865,95.0
9408,113.75
768,71.25
7109,42.0
5023,38.75
9766,35.0
9586,112.0
7217,32.25
6276,130.0
7342,61.5
9085,95.5
5726,44.75
9476,114.6666667
6202,114.0
6100,92.0
6112,69.75
9070,83.75
6030,124.0
8077,51.75
6124,95.0
9712,73.5
9704,63.33333333
9993,109.0
9433,131.0
8290,39.0
7287,41.0
7126,82.75
9839,106.0
6128,109.6666667
9624,61.66666667
6034,72.0
9736,74.75
9481,113.6666667
7103,32.25
6296,43.5
9856,55.75
9608,40.25
108,49.0
9665,80.33333333
9849,86.66666667
6086,94.25
7305,42.25
4779,45.0
7430,38.0
9784,39.0
9663,64.66666667
9701,75.0
9555,92.75
6151,101.3333333
9506,61.25
9855,56.66666667
9515,45.0
7517,110.75
7419,38.75
766,36.25
9332,121.0
9917,47.25
9602,66.75
8311,52.25
7143,38.25
9559,57.5
9957,80.5
9986,102.0
9454,135.5
9747,87.66666667
9892,79.5
9780,39.75
9540,81.75
7427,87.5
9857,62.0
9679,74.5
9850,76.66666667
5830,70.0
7223,51.5
8249,82.25
6024,103.75
9735,65.5
1872,77.75
9786,35.5
5784,60.25
9731,71.25
9846,110.5
9596,54.5
6195,52.25
8132,56.66666667
1061,86.5
9314,56.75
9709,69.0
7125,39.75
8334,51.25
7236,41.75
9599,81.75
9380,90.25
9644,64.5
9764,58.5
9511,50.0
6973,39.5
9131,57.25
10010,70.0
7002,54.0
10012,101.3333333
9669,76.0
6194,81.25
9562,74.0
6115,70.5
9707,64.0
9416,116.0
7333,35.5
9721,73.0
6982,42.0
9938,68.0
1002,84.75
6025,143.0
5993,55.5
6390,55.66666667
8297,75.25
9626,63.25
9680,55.66666667
6243,40.0
